region,siniestros,fallecidos,lesionados_graves,lesionados_menos_graves,lesionados_leves,Total lesionados,anio,region_num,tasa_mortalidad
Tarapacá,1701.0,41.0,245.0,256,1490.0,1991.0,2000,13,2.41
Antofagasta,1484.0,62.0,287.0,316,1306.0,1909.0,2000,0,4.18
Atacama,586.0,35.0,206.0,118,742.0,1066.0,2000,3,5.97
Coquimbo,1329.0,52.0,311.0,274,1327.0,1912.0,2000,6,3.91
Valparaíso,4799.0,166.0,887.0,479,3843.0,5209.0,2000,14,3.46
L.B.O´Higgins,1295.0,135.0,385.0,379,959.0,1723.0,2000,7,10.42
Maule,2422.0,137.0,466.0,418,2172.0,3056.0,2000,11,5.66
Biobio,3350.0,287.0,957.0,626,3630.0,5213.0,2000,5,8.57
Araucanía,1520.0,133.0,469.0,320,1508.0,2297.0,2000,1,8.75
Los Lagos,1420.0,138.0,487.0,374,1338.0,2199.0,2000,8,9.72
Aysén,261.0,8.0,53.0,54,249.0,356.0,2000,4,3.07
Magallanes,455.0,7.0,90.0,96,504.0,690.0,2000,10,1.54
Tarapacá,1464.0,58.0,239.0,200,1554.0,1993.0,2001,13,3.96
Antofagasta,1283.0,70.0,266.0,312,1320.0,1898.0,2001,0,5.46
Atacama,357.0,33.0,120.0,64,439.0,623.0,2001,3,9.24
Coquimbo,1031.0,50.0,258.0,211,1194.0,1663.0,2001,6,4.85
Valparaíso,4089.0,154.0,722.0,444,3418.0,4584.0,2001,14,3.77
L.B.O´Higgins,1258.0,133.0,385.0,373,1150.0,1908.0,2001,7,10.57
Maule,2408.0,142.0,494.0,460,2188.0,3142.0,2001,11,5.9
Biobio,2788.0,203.0,795.0,542,3145.0,4482.0,2001,5,7.28
Araucanía,1150.0,112.0,407.0,302,1185.0,1894.0,2001,1,9.74
Los Lagos,1343.0,125.0,469.0,390,1247.0,2106.0,2001,8,9.31
Aysén,238.0,7.0,44.0,40,283.0,367.0,2001,4,2.94
Magallanes,426.0,11.0,95.0,98,467.0,660.0,2001,10,2.58
Tarapacá,1258.0,64.0,266.0,190,1482.0,1938.0,2002,13,5.09
Antofagasta,1058.0,42.0,226.0,293,1069.0,1588.0,2002,0,3.97
Atacama,298.0,23.0,126.0,103,363.0,592.0,2002,3,7.72
Coquimbo,810.0,61.0,246.0,197,1023.0,1466.0,2002,6,7.53
Valparaíso,3892.0,125.0,766.0,543,3574.0,4883.0,2002,14,3.21
L.B.O´Higgins,1379.0,134.0,424.0,377,1261.0,2062.0,2002,7,9.72
Maule,2010.0,163.0,547.0,384,2013.0,2944.0,2002,11,8.11
Biobio,2954.0,191.0,855.0,572,3479.0,4906.0,2002,5,6.47
Araucanía,1120.0,119.0,358.0,268,1303.0,1929.0,2002,1,10.62
Los Lagos,1194.0,119.0,447.0,360,966.0,1773.0,2002,8,9.97
Aysén,231.0,14.0,51.0,51,247.0,349.0,2002,4,6.06
Magallanes,252.0,13.0,83.0,75,227.0,385.0,2002,10,5.16
Tarapacá,1423.0,66.0,237.0,208,1556.0,2001.0,2003,13,4.64
Antofagasta,1198.0,59.0,322.0,262,1351.0,1935.0,2003,0,4.92
Atacama,396.0,31.0,133.0,87,536.0,756.0,2003,3,7.83
Coquimbo,1266.0,54.0,229.0,190,965.0,1384.0,2003,6,4.27
Valparaíso,3285.0,177.0,658.0,411,3233.0,4302.0,2003,14,5.39
L.B.O´Higgins,1301.0,160.0,451.0,376,1201.0,2028.0,2003,7,12.3
Maule,2194.0,176.0,488.0,361,2155.0,3004.0,2003,11,8.02
Biobio,3469.0,248.0,885.0,613,4020.0,5518.0,2003,5,7.15
Araucanía,997.0,115.0,344.0,230,1190.0,1764.0,2003,1,11.53
Los Lagos,1290.0,124.0,442.0,290,1182.0,1914.0,2003,8,9.61
Aysén,280.0,5.0,37.0,47,228.0,312.0,2003,4,1.79
Magallanes,241.0,18.0,104.0,77,259.0,440.0,2003,10,7.47
Tarapacá,1383.0,54.0,286.0,212,1597.0,2095.0,2004,13,3.9
Antofagasta,1512.0,49.0,316.0,249,1555.0,2120.0,2004,0,3.24
Atacama,455.0,28.0,133.0,103,601.0,837.0,2004,3,6.15
Coquimbo,1299.0,63.0,196.0,221,1052.0,1469.0,2004,6,4.85
Valparaíso,4167.0,155.0,651.0,320,3970.0,4941.0,2004,14,3.72
L.B.O´Higgins,1482.0,154.0,460.0,340,1521.0,2321.0,2004,7,10.39
